id,divergence,consistency,certainty,comprehension
7137,1.0,1.0,0.0,1.0
7711,0.5,1.0,0.5,1.0
5895,0.0,0.0,0.0,0.0
7889,0.75,1.0,1.0,1.0
7354,0.375,0.875,-0.375,1.0
7885,-0.25,1.0,-0.125,1.0
7833,0.5,0.5,0.5,1.0
5939,0.5,0.25,-0.125,1.0
7459,0.75,1.0,0.0,1.0
7866,0.75,0.75,0.75,0.75
5794,0.25,0.25,0.25,0.5
5911,0.5,0.75,-0.25,1.0
m16203,1.0,0.25,0.5,1.0
7388,0.875,-1.0,-0.375,1.0
6808,0.5,0.0,-0.5,0.75
6300,0.25,0.125,-0.5,0.0
7251,0.125,0.875,0.5,1.0
7120,0.5,-0.25,0.0,1.0
7569,-0.375,0.25,0.125,0.25
7737,0.375,0.125,-0.125,-0.25
6635,0.375,0.125,0.5,0.5
6296,0.0,0.125,-0.125,1.0
5772,0.375,0.625,0.375,1.0
5870,0.125,-0.125,0.25,1.0
6805,1.0,0.75,0.5,1.0
7327,0.625,-0.625,-0.75,1.0
6874,0.375,0.25,0.375,0.5
7869,1.0,1.0,1.0,1.0
6225,0.5,0.75,0.0,1.0
5858,0.0,0.0,0.0,0.0
7678,0.0,0.0,0.0,1.0
5892,0.5,0.5,0.25,0.75
7384,0.25,-0.5,0.0,0.0
4226,0.25,-0.625,-0.625,1.0
5867,0.0,-0.25,0.0,0.0
7894,0.125,0.25,-0.375,0.0
6800,0.625,0.625,0.5,1.0
7011,0.5,0.5,0.5,1.0
5767,0.125,0.25,0.25,-0.25
6185,1.0,0.0,-0.25,1.0
5796,0.625,-0.25,-0.25,1.0
6066,0.375,-0.625,0.25,1.0
7547,0.125,0.0,-0.25,0.5
7122,0.5,0.0,0.0,1.0
7261,1.0,-0.5,0.875,1.0
4950,-0.125,0.16666666666666666,-0.125,0.25
6941,0.5,-0.375,-0.25,0.5
7445,0.5,-0.125,-0.375,1.0
5868,0.25,0.5,-0.375,1.0
6632,0.5,0.5,0.5,0.75
7087,0.625,0.875,-0.375,1.0
7666,1.0,1.0,1.0,1.0
7587,0.25,0.0,0.0,1.0
6181,0.375,-0.25,-0.375,0.5
7767,0.75,1.0,1.0,1.0
7385,0.0,0.0,0.0,1.0
7392,0.625,-0.125,0.0,1.0
7895,0.125,0.75,0.0,1.0
7679,0.5,-0.125,0.0,0.5
7022,0.5,0.0,-0.5,0.75
7880,0.0,0.5,0.0,0.75
7728,1.0,0.75,0.5,1.0
3574,0.5,0.5,0.5,1.0
6798,1.0,0.25,0.625,1.0
7338,0.875,0.25,0.125,1.0
7871,0.5,0.5,0.5,1.0
5863,0.375,1.0,0.375,1.0
7170,0.5,0.75,-0.25,1.0
3665,0.75,0.625,0.875,1.0
6159,0.5,0.125,0.5,0.75
7138,0.25,0.0,0.0,1.0
7059,,,,
7396,0.25,0.5,-0.25,1.0
7669,0.5,0.5,0.875,1.0
6674,0.375,-0.125,0.0,0.5
7718,0.0,0.5,-0.5,1.0
4319,0.0,0.0,0.0,0.0
7873,-0.125,0.625,0.125,1.0
7433,0.5,-0.25,-0.375,1.0
5824,0.875,-0.625,0.0,1.0
7010,0.625,0.5,0.5,0.75
6711,0.375,0.25,0.3333333333333333,0.75
7888,0.5,1.0,0.5,1.0
7288,0.375,0.25,0.25,0.75
7893,0.625,-0.625,-0.625,0.5
4796,0.0,0.25,0.5,1.0
7896,0.5,1.0,0.5,1.0
7899,0.375,-0.625,-0.125,0.75
7245,0.25,0.5,0.0,1.0
6304,0.5,0.5,0.125,0.75
7827,0.25,0.5,-0.25,0.5
